"I have a company and want to receive an invoice for every order","I have a company and want to receive an invoice for every order"
"Company name *","Company name *"
"Street name *","Street name *"
"House/Apartment number *","House/Apartment number *"
"City *","City *"
"Zip-code *","Zip-code *"
"Tax ID *","Tax ID *"
"State / Province","State / Province"
"City","City"
"Phone Number","Phone Number"
"House/Apartment number","House/Apartment number"
"Street name","Street name"
"Zip-code","Zip-code"
"Current password *","Current password *"
"New password *","New password *"
"Repeat new password *","Repeat new password *"
"Passwords must be identical.","Passwords must be identical."
"First name *","First name *"
"Last name *","Last name *"
"Repeat password *","Repeat password *"
"Email address *","Email address *"
"I want to create an account","I want to create an account"
"Tax identification number *","Tax identification number *"
"No products found!","No products found!"
"Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!","Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!"
"Erin recommends","Erin recommends"
"Open my account","Open my account"
"Open microcart","Open microcart"
"Open wishlist","Open wishlist"
"Open search panel","Open search panel"
"Open menu","Open menu"
"Show subcategories","Show subcategories"
"Back","Back"
"Close","Close"
"View all","View all"
"Create a new account","Create a new account"
"I accept terms and conditions","I accept terms and conditions"
"I want to receive a newsletter, and agree to its terms","I want to receive a newsletter, and agree to its terms"
"Use my company's address details","Use my company's address details"
"Tax ID must have at least 3 letters.","Tax ID must have at least 3 letters."
"Country *","Country *"
"Toggle password visibility","Toggle password visibility"
"You've entered an incorrect coupon code. Please try again.","You've entered an incorrect coupon code. Please try again."
"Add a discount code","Add a discount code"
"Discount code","Discount code"
"Add discount code","Apply"
"Order ID","Order ID"
"Date and time","Date and time"
"Author","Author"
"Value","Value"
"Type","Type"
"Status","Status"
"Purchase","Purchase"
"View order","View order"
"Remake order","Remake order"
"No orders yet","No orders yet"
"Order #","Order #"
"Items ordered","Items ordered"
"Product Name","Product Name"
"SKU","SKU"
"Subtotal","Subtotal"
"Tax","Tax"
"Discount","Discount"
"Order informations","Order informations"
"Shipping address","Shipping address"
"Billing address","Billing address"
"Order confirmation","Order confirmation"
"Your purchase","Your purchase"
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress."
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience"
"Your Account","Your Account"
"What we can improve?","What we can improve?"
"Your feedback is important for us. Let us know what we could improve.","Your feedback is important for us. Let us know what we could improve."
"Type your opinion","Type your opinion"
"Give a feedback","Give a feedback"
"Choose your country","Choose your country"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>"
"United States","United States"
"English","English"
"Germany","Germany"
"German","German"
"Italy","Italy"
"Italian","Italian"
"Sort By","Sort By"
"Custom Cms Page","Custom Cms Page"
"Cms Page Sync","Cms Page Sync"
"Password must have at least 8 letters.","Password must have at least 8 letters."
"Confirm your order","Confirm your order"
"Please confirm order you placed when you was offline","Please confirm order you placed when you was offline"
"Allow notification about the order","Allow notification about the order"
"Extension developers would like to thank you for placing an order!","Extension developers would like to thank you for placing an order!"
"Compare products","Compare products"
"Load more","Load more"
"Select No","Select No"
"Select Yes","Select Yes"
"erin_recommends_filter","Erin Recommends"
"Latest","Latest"
"size","size"
"color","color"
"login","login"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!"
"If you need an assistance you can drop us a line on","If you need an assistance you can drop us a line on"
"Internal Server Error 500","Internal Server Error 500"
"We've noticed Internal Server Error while rendering this request.","We've noticed Internal Server Error while rendering this request."
"Something went wrong ...","Something went wrong ..."
"This product is out of stock.","This product is out of stock."
"Cash on delivery","Cash on delivery"
"DPD Courier","DPD Courier"
"My Recently viewed products","My Recently viewed products"
"No products yet","No products yet"
"The server order id has been set to ","The server order id has been set to "
"Customer service (Magento CMS)","Customer service (Magento CMS)",""Customer service (Magento CMS)","Customer service (Magento CMS)"
"Instant Checkout","Instant Checkout"
"Are you sure you would like to remove all the items from the wishlist?","Are you sure you would like to remove all the items from the wishlist?"
"Filter by categories","Filter by categories"

"Categories","Categories",
"Search Anything","Search Anything",
"My Profile","My Profile",
"My Orders","My Orders",
"Recently Viewed","Recently Viewed",
"My Wishlist","My Wishlist",
"Help & Contact","Help & Contact",
"Create an Account","Create an Account",
"Sign In","Sign In",
"Create an Account","Create an Account",
"Your cart is empty!","Your cart is empty!",
"Latest Deals","Latest Deals",
"Featured Deals","Featured Deals"
"Conditions Explanation,"Conditions Explanation",
"Described as","Described as",
"Your Bag","Your Bag",
"Order Summary","Order Summary"
"Use your PayPal account to complete your order. Once you enter your account information in the PayPal window, the order will process with Hulii.","Use your PayPal account to complete your order. Once you enter your account information in the PayPal window, the order will process with Hulii.",
"product_model_filter","Model",
"product_brand_filter","Brand",
"Filter","Filter"
"color_filter","Color"
"size_filter","Size"
"price_filter","Price"
"memory_filter","Memory"
"product_model_filter","Model"
"Price","Price"
"Order Summary","Order Summary"
"New Zealand","New Zealand",
"Stay In Touch","Stay In Touch"
"Contact Us","Contact Us"
"Apply","Apply"		
"Customer service (Magento CMS)","Customer service (Magento CMS)",
"Specifications","Specifications"		
"Instant Checkout","Instant Checkout"
"Recommended By Others","Recommended By Others"		
"Are you sure you would like to remove all the items from the wishlist?","Are you sure you would like to remove all the items from the wishlist?"
"Continue Shopping","Continue Shopping"		
"Filter by categories","Filter by categories"
"Product has been added to cart","Product has been added to cart"		
"Add to Wishlist","Add to Wishlist"		
"Categories","Categories",
"Recommended For You","Recommended For You"		
"Search Anything","Search Anything",
"Terms","Terms"		
"My Profile","My Profile",
"Shop","Shop"		
"My Orders","My Orders",
"Secure Checkout","Secure Checkout" 		
"Recently Viewed","Recently Viewed",
"Some rules and restrictions may apply","Some rules and restrictions may apply"		
"My Wishlist","My Wishlist",
"See Details","See Details"		
"Help & Contact","Help & Contact",
"Secure Shopping","Secure Shopping"		
"Create an Account","Create an Account",
"Our checkout meets the credit card industry’s rigorous PCI security standards","Our checkout meets the credit card industry’s rigorous PCI security standards"		
"Privacy Protection","Privacy Protection"		
"Your privacy is always our number-one priority","Your privacy is always our number-one priority"		
"Exceptional Customer Service","Exceptional Customer Service"		
"We’ve got your back. Chat to us live 7 days a week","We’ve got your back. Chat to us live 7 days a week"		
"Order Total","Order Total"		
"Shipping Fee","Shipping Fee"		
"Hulii\'s terms","Hulii\'s terms"		
"By placing this order you agree to","By placing this order you agree to"		
"iPhone 6S","iPhone 6S"		
"items","items"		
"item","item"		
"Log In","Log In"		
"Cart Total","Cart Total"		
"You're In Good Hands","You're In Good Hands"		
"Featured on Hulii","Featured on Hulii"		
"Youtube","Youtube"		
"Pinterest","Pinterest"		
"Twitter","Twitter"		
"Facebook","Facebook"		
"Instagram","Instagram"		
"Follow Us","Follow Us"		
"Track Your Order","Track Your Order"		
"Payments","Payments"		
"FAQs & Contact","FAQs & Contact"		
"Company","Company"		
"Product Ideas","Product Ideas"		
"The Circular Economy","The Circular Economy"		
"Renewal Partners Portal","Renewal Partners Portal"		
"Become a Renewal Partner","Become a Renewal Partner"		
"Our Mission","Our Mission"		
"Legal","Legal"		
"Careers","Careers"		
"Press","Press"		
"Blog","Blog"		
"Who We Are","Who We Are"		
"Track Your Order","Track Your Order"		
"Payments","Payments"		
"Help & Support","Help & Support"		
"Stay In Touch","Stay In Touch"		
"Need Help? Let's Chat","Need Help? Let's Chat"		
"Relevance","Relevance"		
"Clear All","Clear All"		
"Your Selections","Your Selections"		
"Continue shopping on","Continue shopping on"		
"Fill your shopping cart to give it purpose.","Fill your shopping cart to give it purpose."		
"Your cart is empty!","Your cart is empty!"		
"Sign In/Register","Sign In/Register"		
"If you need an assistance you can write to us through","If you need an assistance you can write to us through"		
"Your Recently Viewed Items","Your Recently Viewed Items"		
"Create an Account","Create an Account"		
"Daily Deals","Daily Deals"		
"Top Apple Deals","Top Apple Deals"		
"See More","See More"		
"My Profile","My Profile"		
"My Orders","My Orders"		
"Recently Viewed","Recently Viewed"		
"Help & Contact","Help & Contact"		
"Who Are We","Who Are We"		
"Privacy Policy","Privacy Policy"		
"Terms of Use","Terms of Use"		
"Popular Searches","Popular Searches"		
"Shop All","Shop All"		
"Shop Mobile Phones","Shop Mobile Phones"		
"Shop Apple","Shop Apple"		
"Shop Refurbished Phones","Shop Refurbished Phones"		
"iPhone 6","iPhone 6"		
"iPhone 7","iPhone 7"		
"iPhone 8","iPhone 8"		
"Unlocked iPhone","Unlocked iPhone"		
"Used iPhone","Used iPhone"		
"Buy iPhone","Buy iPhone"		
"New iPhone","New iPhone"		
"How to Backup iPhone","How to Backup iPhone"		
"How to Reset iPhone","How to Reset iPhone"		
"How to Restore iPhone","How to Restore iPhone"		
"How to Unlock iPhone","How to Unlock iPhone"		
"Where Should We Ship To","Where Should We Ship To"		
"Australia","Australia"		
"Malaysia","Malaysia"		
"Hong Kong","Hong Kong"		
"Singapore","Singapore"		
"US","US"		
"See details.","See details."		
"My Wishlist","My Wishlist"		
"Description","Description"		
"Specifications","Specifications"		
"What's in the Box","What's in the Box"		
"Guaranteed Quality","Guaranteed Quality"		
"About","About"		
"Hulii's Product Conditions","Hulii's Product Conditions"		
"All","All"		
"Select Condition ","Select Condition "		
"Hulii's Product Conditions","Hulii's Product Conditions"		
"About PGC Tech","About PGC Tech"		
"New","New"		
"color_group_filter","Color"		
"The Hulii Advantage","The Hulii Advantage"		
"Top FAQs","Top FAQs"		
"Shipping & Delivery","Shipping & Delivery"		
"It's ordered","It's ordered"		
"It looks like you haven't viewed anything yet. Feel free to ","It looks like you haven't viewed anything yet. Feel free to "		
"continue shopping","continue shopping",		
"to find something that suits!","to find something that suits!"		
"Your Wishlist is empty. Feel free to ","Your Wishlist is empty. Feel free to "		
"or visit your","or visit your",		
"Wishlist","Wishlist"		
"Other Available Conditions","Other Available Conditions",		
"Condition Rating","Condition Rating",		
"Condition","Condition",		
"More information","More information",		
"Your Selected Condition","Your Selected Condition",		
"Body Scratches & Condition","Body Scratches & Condition",		
"Screen Scratches","Screen Scratches",		
"Enter Your Condition Preferences","Enter Your Condition Preferences"		
"Limited Time Offer","Limited Time Offer"		
"From","From"		
"Top FAQs","Top FAQs"		
"Enter the email address associated with your Hulii account.","Enter the email address associated with your Hulii account."		
"special_price_filter","Price"		
"Resetting your password","Resetting your password",		
"Sign Out","Sign Out"		
"It seems you're offline. Hulii may look different as you stay off-grid.","It seems you're offline. Hulii may look different as you stay off-grid."		
"Click to see details.","Click to see details."		
"View Cart","View Cart"		
"Creating your account","Creating your account"		
"Submitting your review","Submitting your review"		
"FAQs","FAQs"		
"Contact Us","Contact Us",		
"Choose your country or region","Choose your country or region",		
"Select your preferred language","Select your preferred language",		
"Free Shipping","Free Shipping",		
"6 Months Warranty","6 Months Warranty",		
"Tel","Tel"		
"Products","Products",		
"Warranty","Warranty",		
"Product Quality","Product Quality",		
"Product Conditions","Product Conditions",		
"Making an Order","Making an Order",		
"About Hulii","About Hulii",		
"Sign In","Sign In",		"Sign In","Sign In",
"Shop Hulii","Shop Hulii",		"Create an Account","Create an Account",
"Shop All","Shop All",		"Your cart is empty!","Your cart is empty!",
"Shop Apple","Shop Apple",		"Latest Deals","Latest Deals",
"Shop Samsung","Shop Samsung",		"Featured Deals","Featured Deals"
"Explore the latest from Hulii","Explore the latest from Hulii",		"Conditions Explanation,"Conditions Explanation",
"Explore the latest devices from Apple","Explore the latest devices from Apple",		"Described as","Described as",
"Explore the latest devices from Samsung","Explore the latest devices from Samsung",		"Your Bag","Your Bag",
"Mobile Phones","Mobile Phones",		"Order Summary","Order Summary"
"Name","Name",		"Use your PayPal account to complete your order. Once you enter your account information in the PayPal window, the order will process with Hulii.","Use your PayPal account to complete your order. Once you enter your account information in the PayPal window, the order will process with Hulii.",
"Renewed by","Renewed by",		"product_model_filter","Model",
"Shipping & Returns","Shipping & Returns",		"product_brand_filter","Brand",
"What We Believe","What We Believe",		"Filter","Filter"
"Added to Cart","Added to Cart",		"color_filter","Color"
"Continue to Cart","Continue to Cart",		"size_filter","Size"
"You've earned FREE shipping!","You've earned FREE shipping!",		"price_filter","Price"
"Already have an account","Already have an account",		"memory_filter","Memory"
"Your email address is our primary method to contact you","Your email address is our primary method to contact you",		"product_model_filter","Model"
"Your name will also appear on your delivery label","Your name will also appear on your delivery label",		"Price","Price"
"Enter your mobile number to receive SMS delivery updates (where available)","Enter your mobile number to receive SMS delivery updates (where available)"		"Order Summary","Order Summary"
"Continue","Continue",		
"Address","Address",		
"Shipping Details","Shipping Details",		
"Shipping Options","Shipping Options",		
"Shipping & Handling","Shipping & Handling",		
"Continue to Payment","Continue to Payment",		
"Please enter your credit card details below","Please enter your credit card details below",		
"By placing this order, you agree to the Hulii.com ","By placing this order, you agree to the Hulii.com "		
"Terms of Use ","Terms of Use ",		
"and to receiving marketing communications from Hulii.com","and to receiving marketing communications from Hulii.com",		
"Free Delivery","Free Delivery",		
"Free delivery on all orders through Hulii.","Free delivery on all orders through Hulii.",		
"14 Days Change of Mind*","14 Days Change of Mind*",		
"14 Days Change of Mind","14 Days Change of Mind",		
"If you change your mind within 14 days you can return your unopened products free of charge.","If you change your mind within 14 days you can return your unopened products free of charge."		
"Hulii Cares","Hulii Cares",		
"Any issues? Our comprehensive 6 month warranty is here to help.","Any issues? Our comprehensive 6 month warranty is here to help.",		
"Power isn't just for the pros.","Power isn't just for the pros.",		
"Discover something new with every touch.","Discover something new with every touch.",		
"Compatible with","Compatible with",		
"Share","Share",		
"Favourite","Favourite",		
"Available Conditions","Available Conditions",		
"Select a Condition","Select a Condition",		
"Add to Cart","Add to Cart",		
"Proceed to Checkout","Proceed to Checkout",		
"Save for Later","Save for Later",		
"Shipping type","Shipping type",		
"Contact Details","Contact Details",		
"Proceed to Checkout","Proceed to Checkout",		
"Save for Later","Save for Later",		
"Shipping type","Shipping type",		
"Edit Details","Edit Details",		
"Arrives by","Arrives by",		
"United Kingdom","United Kingdom",		
"Stay In Touch","Stay In Touch"
"Recommended Accessories","Recommended Accessories",		
"Read More","Read More",		
"Blog","Blog",		
"Let's Chat","Let's Chat"
"Start Selling","Start Selling"
"Startup Program","Startup Program"
"SME Program","SME Program"
"Jobs","Jobs"
"How It Works","How It Works"
"Find Out More","Find Out More"
"A Smarter Way to Splurge","A Smarter Way to Splurge"
"See All","See All"
"Up to 70% Off the latest apple devices","Up to 70% Off the latest apple devices"
"Shop Mobile Devices","Shop Mobile Devices"
"Any Issues? Our comprehensive warranty is here to help.","Any Issues? Our comprehensive warranty is here to help."
"Favourites","Favourites"
"Sign Up","Sign Up"
"14 Days Free Returns","14 Days Free Returns"
"No questions asked free returns within the first 14 days.","No questions asked free returns within the first 14 days."
"Free standard shipping on all orders through Hulii.","Free standard shipping on all orders through Hulii."
"Just For You","Just For You"
"Shop Our Categories","Shop Our Categories"
"Free shipping when you spend over $50","Free shipping when you spend over $50"
"Shop all devices","Shop all devices"
"Up to 55% Off the latest Samsung devices","Up to 55% Off the latest Samsung devices"
"Hulii is renewing the world one device at a time. Click here to see our journey as we change the world.","Hulii is renewing the world one device at a time. Click here to see our journey as we change the world."
